date,open,high,low,close,volume,price
2013-01-02,95.21,95.81,90.69,92.01,2775900.0,92.01
2013-01-03,91.97,97.92,91.5301,96.59,3987500.0,96.59
2013-01-04,96.54,97.71,95.54,95.98,2537300.0,95.98
2013-01-07,96.33,101.75,96.12,99.2004,6507200.0,99.2004
2013-01-08,100.01,100.99,96.8,97.1563,3530700.0,97.1563
2013-01-09,97.12,97.95,94.55,95.91,2889000.0,95.91
2013-01-10,96.57,99.92,95.7,98.0,3731100.0,98.0
2013-01-11,98.18,101.92,98.0,101.29,4264500.0,101.29
2013-01-14,100.99,104.5,100.56,103.445,3353300.0,103.445
2013-01-15,103.02,104.356,101.05,101.69,2438300.0,101.69
2013-01-16,101.82,102.3,96.76,97.48,4002100.0,97.48
2013-01-17,98.09,98.6,95.75,97.7,2317300.0,97.7
2013-01-18,100.3801,101.94,98.6772,99.17,5142800.0,99.17
2013-01-22,99.65,99.65,96.59,97.81,3253300.0,97.81
2013-01-23,97.13,103.83,97.02,103.26,10605000.0,103.26
2013-01-24,143.99,149.17,139.62,146.86,16972200.0,146.86
2013-01-25,145.67,172.68,145.608,169.56,27349400.0,169.56
2013-01-28,172.51,177.25,160.79,162.11,15586400.0,162.11
2013-01-29,158.13,169.88,156.63,169.12,8506000.0,169.12
2013-01-30,173.49,175.4999,162.66,167.7,6866100.0,167.7
2013-01-31,167.105,169.0,160.32,165.24,5085900.0,165.24
2013-02-01,170.0,173.0,163.88,164.8,7194000.0,164.8
2013-02-04,162.78,175.13,162.78,174.74,7281300.0,174.74
2013-02-05,172.38,177.89,171.0,174.387,8150900.0,174.387
2013-02-06,175.0,185.355,174.55,184.41,9598700.0,184.41
2013-02-07,185.75,188.8795,178.54,181.962,7583800.0,181.962
2013-02-08,181.745,183.9599,180.01,180.97,3665400.0,180.97
2013-02-11,178.98,182.05,174.8,177.89,4189300.0,177.89
2013-02-12,180.66,183.56,175.71,177.95,4914200.0,177.95
2013-02-13,180.9,186.4,179.66,186.269,5847000.0,186.269
2013-02-14,187.29,189.8499,184.691,187.4,4568500.0,187.4
2013-02-15,188.57,190.0,186.26,189.512,3807500.0,189.512
2013-02-19,191.0,197.17,190.1502,196.45,4876900.0,196.45
2013-02-20,197.58,197.62,186.5,187.12,4999500.0,187.12
2013-02-21,186.0,192.2,182.5,187.15,5270600.0,187.15
2013-02-22,183.72,183.79,178.4301,179.86,5567300.0,179.86
2013-02-25,180.99,187.1,175.45,179.32,7452100.0,179.32
2013-02-26,180.6,185.22,175.6,184.09,4840300.0,184.09
2013-02-27,183.58,186.0,180.561,184.32,3232400.0,184.32
2013-02-28,183.81,192.131,183.51,188.08,4899100.0,188.08
2013-03-01,187.11,190.34,186.21,189.37,3064500.0,189.37
2013-03-04,188.68,190.08,176.6601,181.21,6832000.0,181.21
2013-03-05,184.67,185.31,178.08,181.73,4618100.0,181.73
2013-03-06,182.15,184.96,179.5801,182.94,2490800.0,182.94
2013-03-07,180.0,182.5,176.16,181.56,4099400.0,181.56
2013-03-08,182.45,185.85,180.71,184.7,3359000.0,184.7
2013-03-11,184.0,184.5199,179.01,180.45,3002200.0,180.45
2013-03-12,179.36,184.1699,179.25,182.11,3021700.0,182.11
2013-03-13,187.4,195.19,186.75,192.36,7699800.0,192.36
2013-03-14,192.69,192.69,187.07,188.37,4064400.0,188.37
2013-03-15,189.25,189.9899,184.55,184.85,2952500.0,184.85
2013-03-18,181.38,186.77,180.552,185.59,2581900.0,185.59
2013-03-19,186.0,186.75,179.25,181.37,2839100.0,181.37
2013-03-20,182.62,183.8499,180.43,183.05,1590300.0,183.05
2013-03-21,182.3,187.4,181.97,181.99,2686300.0,181.99
2013-03-22,183.1,183.86,179.5,181.3,2027000.0,181.3
2013-03-25,182.43,184.84,179.77,180.79,2146400.0,180.79
2013-03-26,184.0,192.64,183.6,190.61,6688200.0,190.61
2013-03-27,189.64,197.06,188.33,190.24,5782200.0,190.24
2013-03-28,190.75,192.9,188.6,189.28,2798300.0,189.28
2013-04-01,190.95,191.5,181.47,182.43,3278200.0,182.43
2013-04-02,183.9,185.1799,176.1,176.69,4611500.0,176.69
2013-04-03,177.055,178.33,164.26,169.74,10765400.0,169.74
2013-04-04,167.37,170.128,163.81,166.69,4922900.0,166.69
2013-04-05,163.52,170.5,162.53,164.66,4644700.0,164.66
2013-04-08,165.83,166.3,159.0,163.06,4535000.0,163.06
2013-04-09,163.49,171.37,162.05,169.36,4863700.0,169.36
2013-04-10,168.0,169.45,164.91,166.07,4244200.0,166.07
2013-04-11,168.83,173.4,168.82,173.01,4722300.0,173.01
2013-04-12,176.99,177.64,171.201,173.2,5399700.0,173.2
2013-04-15,175.56,182.3498,174.8,176.5,6647000.0,176.5
2013-04-16,174.97,177.73,172.27,175.85,4244500.0,175.85
2013-04-17,174.34,177.39,168.27,169.36,3935100.0,169.36
2013-04-18,171.0,171.9,161.8,163.82,3303000.0,163.82
2013-04-19,165.5,169.17,163.0301,163.37,2880500.0,163.37
2013-04-22,165.72,176.5,165.72,174.37,12124300.0,174.37
2013-04-23,215.57,219.38,209.51,216.99,16408700.0,216.99
2013-04-24,217.6,224.3,213.22,216.72,6699800.0,216.72
2013-04-25,216.98,218.79,213.27,213.75,4182000.0,213.75
2013-04-26,217.0,217.13,212.52,215.55,3112900.0,215.55
2013-04-29,216.61,217.73,212.01,215.013,2969600.0,215.013
2013-04-30,214.6,219.75,214.24,216.07,3581600.0,216.07
2013-05-01,215.92,217.389,211.65,212.91,2622800.0,212.91
2013-05-02,213.24,215.45,210.19,214.49,2618400.0,214.49
2013-05-03,215.78,218.23,212.7,213.45,2204500.0,213.45
2013-05-06,209.63,212.45,204.02,210.69,4533000.0,210.69
2013-05-07,208.78,210.52,205.6,206.25,2439900.0,206.25
2013-05-08,204.93,210.4,204.53,208.61,2517600.0,208.61
2013-05-09,208.03,218.88,206.52,216.41,5158400.0,216.41
2013-05-10,216.41,219.75,214.5601,217.694,2692100.0,217.694
2013-05-13,217.17,229.69,217.14,229.379,5908200.0,229.379
2013-05-14,231.99,236.59,230.8,233.97,5505100.0,233.97
2013-05-15,239.47,245.43,237.83,243.4,5147100.0,243.4
2013-05-16,246.95,248.85,235.2,237.03,4007600.0,237.03
2013-05-17,238.53,242.75,236.0,239.0,2877300.0,239.0
2013-05-20,238.44,241.65,236.76,239.55,2109400.0,239.55
2013-05-21,240.04,240.9,235.0,237.09,1641600.0,237.09
2013-05-22,234.4,238.2,226.6401,228.56,3109900.0,228.56
2013-05-23,225.7,228.2,221.55,226.18,2314000.0,226.18
2013-05-24,225.23,229.0,224.5,228.74,1686900.0,228.74
2013-05-28,231.75,235.96,212.975,214.19,5646500.0,214.19
2013-05-29,214.55,221.3799,209.91,215.34,4871700.0,215.34
2013-05-30,216.03,223.0,211.55,222.66,3441100.0,222.66
2013-05-31,225.24,229.58,224.0501,226.25,3630900.0,226.25
2013-06-03,227.05,227.5,217.57,221.97,3038700.0,221.97
2013-06-04,220.115,227.55,218.57,225.31,3286700.0,225.31
2013-06-05,223.19,228.0,218.4,223.46,4728000.0,223.46
2013-06-06,222.12,225.4,214.0,217.74,3724200.0,217.74
2013-06-07,218.64,220.82,215.65,220.22,2185600.0,220.22
2013-06-10,223.03,223.33,216.06,220.93,1973200.0,220.93
2013-06-11,217.85,220.27,213.8,214.46,2030500.0,214.46
2013-06-12,215.83,215.83,206.87,207.64,2729800.0,207.64
2013-06-13,207.99,215.55,205.75,215.39,2644500.0,215.39
2013-06-14,214.77,217.29,212.32,213.99,1785100.0,213.99
2013-06-17,225.54,230.4999,223.75,229.23,5121600.0,229.23
2013-06-18,230.24,231.0,226.4,228.83,2496700.0,228.83
2013-06-19,228.0,235.88,227.611,232.31,3193300.0,232.31
2013-06-20,229.47,231.0,220.54,223.52,3016600.0,223.52
2013-06-21,225.05,226.38,214.2,216.9,3342600.0,216.9
2013-06-24,213.0,219.08,209.0,215.6,2556600.0,215.6
2013-06-25,211.97,213.5,207.56,212.9,2988400.0,212.9
2013-06-26,214.55,218.25,210.82,212.1,2690600.0,212.1
2013-06-27,212.91,216.732,209.6,214.97,2618100.0,214.97
2013-06-28,214.27,216.2999,210.05,211.09,2797300.0,211.09
2013-07-01,213.62,225.33,212.0,224.28,3502500.0,224.28
2013-07-02,225.23,227.47,218.0,221.46,2532900.0,221.46
2013-07-03,222.12,224.0,218.95,220.91,1232200.0,220.91
2013-07-05,222.09,225.25,219.33,225.1,1422500.0,225.1
2013-07-08,226.98,235.24,225.51,233.1,3469900.0,233.1
2013-07-09,235.04,247.41,234.87,247.382,5072800.0,247.382
2013-07-10,245.55,246.9,239.21,243.82,3225500.0,243.82
2013-07-11,248.0,249.2,240.82,244.17,3020900.0,244.17
2013-07-12,245.83,257.43,245.75,257.261,4891200.0,257.261
2013-07-15,259.4,259.85,252.13,257.98,2944700.0,257.98
2013-07-16,257.29,266.37,256.7,260.48,4765200.0,260.48
2013-07-17,261.24,268.26,258.67,267.92,2787200.0,267.92
2013-07-18,270.31,270.31,264.0,266.41,2926800.0,266.41
2013-07-19,267.43,267.949,263.18,264.576,2588600.0,264.576
2013-07-22,266.85,268.75,257.12,261.96,6759100.0,261.96
2013-07-23,251.4,262.2349,246.2,250.26,10975600.0,250.26
2013-07-24,249.72,252.25,240.2,241.3,4772800.0,241.3
2013-07-25,240.56,247.66,239.91,246.74,2804900.0,246.74
2013-07-26,244.62,246.98,240.81,246.31,2546700.0,246.31
2013-07-29,246.06,250.67,242.5,244.96,1887900.0,244.96
2013-07-30,245.4,247.91,241.81,243.76,1555800.0,243.76
2013-07-31,243.41,247.1,241.94,244.484,1874400.0,244.484
2013-08-01,246.54,250.0,244.57,249.12,2019900.0,249.12
2013-08-02,249.34,249.34,244.8,246.18,1982800.0,246.18
2013-08-05,243.91,253.9,241.38,253.84,3280300.0,253.84
2013-08-06,253.95,257.6,250.1,255.9,2916200.0,255.9
2013-08-07,254.36,257.47,248.66,249.21,2332700.0,249.21
2013-08-08,251.87,253.895,248.45,250.4,2114300.0,250.4
2013-08-09,249.99,253.71,249.8,252.75,1760400.0,252.75
2013-08-12,251.28,257.0,250.42,256.6,2543500.0,256.6
2013-08-13,258.65,262.199,253.2605,259.19,3134400.0,259.19
2013-08-14,258.3,263.79,258.0157,261.81,2485700.0,261.81
2013-08-15,259.0,260.49,251.36,253.41,2375600.0,253.41
2013-08-16,253.21,260.15,251.131,258.87,3050600.0,258.87
2013-08-19,258.0,263.5,257.75,259.78,2213900.0,259.78
2013-08-20,262.93,273.54,262.5,273.29,4305800.0,273.29
2013-08-21,272.89,274.65,267.5,270.37,3036900.0,270.37
2013-08-22,272.52,273.46,268.23,269.75,1423100.0,269.75
2013-08-23,270.05,278.39,269.02,278.36,3183600.0,278.36
2013-08-26,276.11,289.9444,274.04,282.72,4431100.0,282.72
2013-08-27,279.15,285.88,274.5,276.04,3305500.0,276.04
2013-08-28,278.66,285.0,276.4,283.36,2765100.0,283.36
2013-08-29,284.03,290.23,283.84,287.85,2722800.0,287.85
2013-08-30,288.25,288.83,282.95,283.91,2164200.0,283.91
2013-09-03,287.43,290.71,284.55,289.0,2852800.0,289.0
2013-09-04,288.84,293.06,286.99,292.43,2814500.0,292.43
2013-09-05,296.8,298.93,294.42,295.11,2724600.0,295.11
2013-09-06,296.33,296.51,290.2,291.54,2528400.0,291.54
2013-09-09,292.75,295.3,290.28,294.15,1977200.0,294.15
2013-09-10,297.4999,313.24,296.81,313.06,5240300.0,313.06
2013-09-11,313.74,314.18,303.88,308.3,4277200.0,308.3
2013-09-12,301.84,306.45,298.35,301.406,3135400.0,301.406
2013-09-13,302.0,306.0,299.1903,305.65,2147100.0,305.65
2013-09-16,310.0,310.19,301.8,302.16,2007900.0,302.16
2013-09-17,302.04,303.26,297.7,299.55,2600100.0,299.55
2013-09-18,298.96,307.68,298.12,306.92,1962800.0,306.92
2013-09-19,308.37,308.745,304.01,305.498,2492800.0,305.498
2013-09-20,305.84,315.8875,305.62,313.83,4398800.0,313.83
2013-09-23,320.39,320.39,299.52,302.04,4575800.0,302.04
2013-09-24,301.3,309.4,300.3503,306.49,2682900.0,306.49
2013-09-25,308.2,310.8,304.06,307.14,2091300.0,307.14
2013-09-26,308.04,314.49,307.5,313.51,1780100.0,313.51
2013-09-27,310.76,313.52,309.7,312.4,1185600.0,312.4
2013-09-30,307.72,312.15,305.2,309.21,1789800.0,309.21
2013-10-01,314.77,324.7,314.0,324.62,4241900.0,324.62
2013-10-02,322.09,333.6,321.62,330.73,4369100.0,330.73
2013-10-03,331.01,334.5,318.05,321.72,3516200.0,321.72
2013-10-04,323.68,328.3,318.54,327.26,2402000.0,327.26
2013-10-07,324.04,326.97,318.15,318.16,2090700.0,318.16
2013-10-08,319.29,321.52,299.5655,302.32,4096900.0,302.32
2013-10-09,300.23,300.575,282.8,288.43,5992700.0,288.43
2013-10-10,301.0,307.43,296.4,303.994,4385000.0,303.994
2013-10-11,304.3112,307.61,300.13,300.848,2742900.0,300.848
2013-10-14,310.61,325.27,306.0,324.36,6522800.0,324.36
2013-10-15,325.1,327.33,319.3401,321.69,3835500.0,321.69
2013-10-16,320.11,325.5,318.26,322.878,2691900.0,322.878
2013-10-17,322.21,330.21,319.66,330.1,2753200.0,330.1
2013-10-18,334.0,336.48,327.6,333.5,3636400.0,333.5
2013-10-21,342.92,355.4158,340.1,354.99,9298600.0,354.99
2013-10-22,387.84,389.16,321.5,322.524,25871400.0,322.524
2013-10-23,317.32,335.19,317.0,330.24,8339500.0,330.24
2013-10-24,331.44,336.85,323.66,331.22,4794200.0,331.22
2013-10-25,331.0,337.2,325.91,328.031,3437500.0,328.031
2013-10-28,325.01,330.96,311.81,314.0,4894400.0,314.0
2013-10-29,318.57,327.37,309.2,327.3,4419500.0,327.3
2013-10-30,328.72,328.93,315.62,318.14,3091500.0,318.14
2013-10-31,318.11,326.65,315.7,322.48,2641400.0,322.48
2013-11-01,328.83,333.5,325.9001,329.265,3145800.0,329.265
2013-11-04,330.95,337.79,325.15,337.6,3131300.0,337.6
2013-11-05,335.54,342.4,333.05,341.5,2469900.0,341.5
2013-11-06,339.49,344.37,332.79,335.63,2961900.0,335.63
2013-11-07,339.0,339.67,325.16,326.86,2858200.0,326.86
2013-11-08,326.92,335.6,325.52,334.9,2778400.0,334.9
2013-11-11,332.75,339.5,328.62,337.91,2402200.0,337.91
2013-11-12,336.18,339.5,331.35,333.73,1747400.0,333.73
2013-11-13,333.22,335.46,329.1,335.284,1709700.0,335.284
2013-11-14,335.79,344.0,335.12,342.57,2872100.0,342.57
2013-11-15,344.6,349.89,343.08,349.76,2878900.0,349.76
2013-11-18,350.0,350.49,339.5,341.77,2892500.0,341.77
2013-11-19,340.77,346.82,334.24,337.29,2436800.0,337.29
2013-11-20,343.35,346.35,337.65,339.52,2783100.0,339.52
2013-11-21,342.24,348.68,341.67,348.5,2284200.0,348.5
2013-11-22,348.83,350.6,344.0,347.85,2028900.0,347.85
2013-11-25,346.9,352.93,345.01,350.24,1997800.0,350.24
2013-11-26,350.5,356.46,347.57,355.2,2097600.0,355.2
2013-11-27,357.11,363.846,353.54,362.49,2404700.0,362.49
2013-11-29,364.05,367.8,363.01,365.8,1198300.0,365.8
2013-12-02,364.88,367.96,359.6101,363.92,1667900.0,363.92
2013-12-03,361.89,363.58,356.5,362.94,1914400.0,362.94
2013-12-04,360.59,368.65,356.25,356.27,2770800.0,356.27
2013-12-05,357.8,361.13,353.39,358.06,1970500.0,358.06
2013-12-06,361.04,361.33,352.0,354.44,1725100.0,354.44
2013-12-09,355.17,359.87,353.61,355.67,1674100.0,355.67
2013-12-10,355.05,364.44,353.32,363.1,2012800.0,363.1
2013-12-11,364.37,371.16,362.22,363.98,2866700.0,363.98
2013-12-12,363.67,374.84,363.55,373.33,3045500.0,373.33
2013-12-13,376.15,377.0,368.81,368.97,2550700.0,368.97
2013-12-16,369.98,371.0,364.25,366.31,1987300.0,366.31
2013-12-17,366.75,377.7,366.27,374.87,2635500.0,374.87
2013-12-18,373.86,377.0,366.51,376.24,2840200.0,376.24
2013-12-19,374.2,379.86,373.35,376.74,1978500.0,376.74
2013-12-20,376.5,379.69,374.34,375.67,2688200.0,375.67
2013-12-23,378.69,383.43,376.631,380.58,1803500.0,380.58
2013-12-24,380.76,383.96,377.48,378.39,796800.0,378.39
2013-12-26,378.11,380.91,375.834,376.93,1752700.0,376.93
2013-12-27,377.11,378.75,365.81,367.5,2421200.0,367.5
2013-12-30,367.62,369.54,359.04,366.99,2153600.0,366.99
2013-12-31,365.5,369.15,363.63,368.17,1502400.0,368.17
2014-01-02,366.81,367.58,360.8,362.82,1760800.0,362.82
2014-01-03,364.0,367.4694,362.9,363.1,1545300.0,363.1
2014-01-06,363.23,364.31,353.33,359.57,2214500.0,359.57
2014-01-07,347.79,347.89,337.07,339.5,5166800.0,339.5
2014-01-08,336.73,345.98,336.52,340.99,2857300.0,340.99
2014-01-09,341.77,343.98,335.0,337.05,2429600.0,337.05
2014-01-10,338.07,338.637,330.53,332.14,2319700.0,332.14
2014-01-13,331.13,348.67,331.13,336.81,3891000.0,336.81
2014-01-14,341.44,341.6,332.57,337.96,2820000.0,337.96
2014-01-15,335.0,338.57,319.07,330.38,5776000.0,330.38
2014-01-16,328.41,333.87,322.02,331.68,3019400.0,331.68
2014-01-17,332.07,334.8198,328.24,330.04,2345300.0,330.04
2014-01-21,332.23,332.4725,320.25,328.71,3602900.0,328.71
2014-01-22,329.5,334.4391,327.351,333.73,6906000.0,333.73
2014-01-23,387.4,395.63,377.49,388.72,13040000.0,388.72
2014-01-24,383.68,390.7,383.38,386.08,5066700.0,386.08
2014-01-27,387.39,391.5,370.56,381.23,4646700.0,381.23
