Datetime,volume,price
2013-05-08,1690920,273.2
2013-05-10,1252980,262.48
2013-05-13,1706330,259.85
2013-05-14,2701830,257.7
2013-05-15,2471360,259.55
2013-05-16,972740,259.16
2013-05-17,660390,263.92
2013-05-20,391640,261.94
2013-05-21,1053140,268.28
2013-05-22,996210,272.96
2013-05-23,1655810,265.4
2013-05-24,1476240,265.12
2013-05-27,568700,261.48
2013-05-28,1778680,263.99
2013-05-29,459980,260.5
2013-05-30,951100,253.18
2013-05-31,1205810,255.34
2013-06-03,1388150,253.83
2013-06-04,1073270,257.32
2013-06-05,734810,250.2
2013-06-06,1626150,254.58
2013-06-07,1523490,254.0
2013-06-10,1108800,255.5
2013-06-11,1129890,248.56
2013-06-13,1255590,248.19
2013-06-14,869600,251.9
2013-06-17,2035320,253.23
2013-06-18,2413920,257.5
2013-06-19,795820,258.44
2013-06-20,997010,251.0
2013-06-21,942880,249.52
2013-06-24,1566780,248.77
2013-06-25,1051820,250.4
2013-06-26,2254940,259.42
2013-06-27,1116530,259.41
2013-06-28,1754220,261.45
2013-07-01,668880,259.5
2013-07-02,671920,258.0
2013-07-03,689270,258.47
2013-07-04,1245220,257.95
2013-07-05,802980,261.02
2013-07-08,784350,266.11
2013-07-09,828350,263.26
2013-07-10,614830,261.87
2013-07-11,1682660,267.0
2013-07-12,1938950,272.3
2013-07-15,1072650,268.57
2013-07-16,1532350,272.5
2013-07-17,1570950,274.0
2013-07-18,984670,269.71
2013-07-19,1024280,269.22
2013-07-22,1187210,274.0
2013-07-23,925840,276.7
2013-07-24,995120,278.95
2013-07-25,1571330,280.57
2013-07-26,1150330,282.45
2013-07-29,1737680,276.3
2013-07-30,1378550,278.51
2013-07-31,2279020,273.54
2013-08-01,1605340,282.63
2013-08-02,984020,283.7
2013-08-05,1051970,287.38
2013-08-06,1178530,282.01
2013-08-07,1038500,285.17
2013-08-08,894610,285.89
2013-08-09,649900,289.49
2013-08-12,460520,292.2
2013-08-13,642400,294.4
2013-08-14,1077590,299.98
2013-08-15,1084120,289.9
2013-08-16,1324780,286.0
2013-08-19,1030630,287.9
2013-08-20,1864280,294.85
2013-08-21,2009690,300.8
2013-08-22,1362030,298.7
2013-08-23,1074060,296.77
2013-08-26,777640,299.99
2013-08-27,1565430,292.46
2013-08-28,1929830,289.79
2013-08-29,725560,287.99
2013-08-30,775930,287.98
2013-09-02,858920,283.01
2013-09-03,1262180,286.0
2013-09-04,1144650,282.96
2013-09-05,2610880,295.0
2013-09-06,1961150,297.1
2013-09-09,1211130,300.55
2013-09-10,2209760,299.04
2013-09-11,1033210,298.53
2013-09-12,1167800,298.4
