Datetime,volume,price
2013-05-08,20052100,26.848
2013-05-10,25901000,26.398
2013-05-13,21645100,26.035
2013-05-14,31849000,25.565
2013-05-15,41827500,25.932
2013-05-16,32065500,25.76
2013-05-17,22537400,26.401
2013-05-20,16685900,26.125
2013-05-21,25455400,26.268
2013-05-22,36229400,26.52
2013-05-23,32179500,25.49
2013-05-24,25467900,25.202
2013-05-27,8718800,25.31
2013-05-28,29389400,25.589
2013-05-29,40416700,25.016
2013-05-30,32079600,24.791
2013-05-31,47849900,24.3
2013-06-03,41304800,24.036
2013-06-04,22897600,24.21
2013-06-05,29894500,23.748
2013-06-06,24897200,23.6
2013-06-07,40908800,24.551
2013-06-10,45734800,25.0
2013-06-11,39240600,24.46
2013-06-13,36714400,24.24
2013-06-14,36503100,24.205
2013-06-17,36428900,24.712
2013-06-18,24173900,24.809
2013-06-19,22356700,24.88
2013-06-20,27014500,24.55
2013-06-21,36022800,24.543
2013-06-24,30250900,24.696
2013-06-25,21320200,24.901
2013-06-26,25700500,25.703
2013-06-27,17970600,25.6
2013-06-28,29629200,25.923
2013-07-01,11871500,25.661
2013-07-02,16326100,25.7
2013-07-03,18637400,25.582
2013-07-04,18949800,25.589
2013-07-05,20911900,25.209
2013-07-08,16606300,25.5
2013-07-09,24506700,25.7
2013-07-10,26622600,25.606
2013-07-11,42391900,26.459
2013-07-12,32746300,26.82
2013-07-15,20161100,26.914
2013-07-16,31136200,27.28
2013-07-17,23299600,27.305
2013-07-18,31510000,26.647
2013-07-19,29213300,26.225
2013-07-22,19700600,26.501
2013-07-23,15087200,26.85
2013-07-24,16357500,26.643
2013-07-25,11059100,26.654
2013-07-26,10754400,26.84
2013-07-29,17459100,27.111
2013-07-30,21703000,26.438
2013-07-31,24358300,26.134
2013-08-01,18387200,26.68
2013-08-02,23863500,26.156
2013-08-05,24720300,25.75
2013-08-06,24564100,25.3
2013-08-07,18715000,25.255
2013-08-08,16734600,25.053
2013-08-09,19153200,25.484
2013-08-12,8911900,25.466
2013-08-13,21378200,25.75
2013-08-14,20792200,26.264
2013-08-15,22061300,25.933
2013-08-16,18665400,25.589
2013-08-19,17072500,25.395
2013-08-20,14020700,25.567
2013-08-21,15659900,25.665
2013-08-22,20367300,26.0
2013-08-23,11381300,25.959
2013-08-26,9846700,25.799
2013-08-27,14634400,25.714
2013-08-28,24821300,25.92
2013-08-29,14750300,25.99
2013-08-30,24348000,26.072
2013-09-02,12023300,26.365
2013-09-03,26181800,26.598
2013-09-04,17207300,26.47
2013-09-05,23437600,27.261
2013-09-06,40065800,27.394
