Datetime,volume,price
2013-05-08,1469700,206.5
2013-05-10,1272380,210.45
2013-05-13,1056560,208.0
2013-05-14,2027780,201.99
2013-05-15,1053960,199.77
2013-05-16,919850,190.25
2013-05-17,1327210,201.85
2013-05-20,1071800,200.02
2013-05-21,1329160,206.4
2013-05-22,2159980,210.54
2013-05-23,1906660,203.6
2013-05-24,1465600,199.12
2013-05-27,395360,198.45
2013-05-28,960440,201.23
2013-05-29,1539730,190.87
2013-05-30,1649780,188.3
2013-05-31,2482310,180.42
2013-06-03,3149430,177.42
2013-06-04,1842530,182.73
2013-06-05,2225340,175.95
2013-06-06,2234180,170.25
2013-06-07,2665500,182.21
2013-06-10,1275360,179.5
2013-06-11,1863720,171.52
2013-06-13,1959110,168.4
2013-06-14,2043590,173.97
2013-06-17,2967140,185.0
2013-06-18,1955020,187.0
2013-06-19,1324540,186.5
2013-06-20,1507000,182.71
2013-06-21,1847540,181.4
2013-06-24,1287460,184.18
2013-06-25,1153520,186.6
2013-06-26,1351790,188.39
2013-06-27,980700,187.41
2013-06-28,3169630,196.45
2013-07-01,1288000,197.46
2013-07-02,1599300,202.0
2013-07-03,1323340,197.04
2013-07-04,895210,196.28
2013-07-05,1196390,194.82
2013-07-08,1104770,194.48
2013-07-09,983350,192.65
2013-07-10,1049930,190.64
2013-07-11,1705300,198.15
2013-07-12,2203760,204.2
2013-07-15,1183830,207.0
2013-07-16,1506910,205.61
2013-07-17,1611740,211.0
2013-07-18,1150060,210.75
2013-07-19,922640,211.52
2013-07-22,1093730,210.0
2013-07-23,1073650,211.2
2013-07-24,1377720,206.08
2013-07-25,972070,207.0
2013-07-26,859210,203.81
2013-07-29,831430,202.97
2013-07-30,1278720,203.74
2013-07-31,1814980,202.56
2013-08-01,1341950,206.68
2013-08-02,1113570,205.68
2013-08-05,947970,208.65
2013-08-06,1520490,200.1
2013-08-07,1108090,200.5
2013-08-08,949310,206.01
2013-08-09,798630,206.64
2013-08-12,629790,206.73
2013-08-13,1319450,210.44
2013-08-14,1276590,213.01
2013-08-15,1574000,204.14
2013-08-16,1556340,202.93
2013-08-19,1450240,207.32
2013-08-20,962510,207.72
2013-08-21,969200,208.3
2013-08-22,1403050,209.56
2013-08-23,924550,209.71
2013-08-26,365790,209.0
2013-08-27,1050800,205.24
2013-08-28,1723580,202.54
