DateTime,open,high,low,close,volume,price
10/09/2007 11:02,98.07,98.09,98.07,98.08,12077,60.08
10/09/2007 11:03,98.09,98.12,98.08,98.12,10283,57.12
10/09/2007 11:04,98.12,98.22,98.12,98.2,21523,49.2
10/09/2007 11:05,98.2,98.2,98.17,98.17,7174,52.17
10/09/2007 11:06,98.17,98.17,98.14,98.16,10403,45.16
10/09/2007 11:07,98.16,98.18,98.15,98.18,9685,61.18
10/09/2007 11:08,98.17,98.23,98.17,98.22,15186,50.22
10/09/2007 11:09,98.22,98.22,98.19,98.19,7294,58.19
10/09/2007 11:10,98.19,98.24,98.18,98.24,178761,59.24
10/09/2007 11:11,98.24,98.33,98.23,98.32,12794,48.32
10/09/2007 11:12,98.32,98.32,98.25,98.26,14468,48.26
10/09/2007 11:13,98.27,98.28,98.25,98.25,15903,53.25
10/09/2007 11:14,98.26,98.28,98.24,98.24,12196,52.24
10/09/2007 11:15,98.26,98.26,98.23,98.24,9685,61.24
10/09/2007 11:16,98.24,98.24,98.12,98.12,13153,49.12
10/09/2007 11:17,98.12,98.18,98.12,98.18,40057,55.18
10/09/2007 11:18,98.18,98.23,98.17,98.22,13153,49.22
10/09/2007 11:19,98.23,98.27,98.21,98.24,18534,50.24
10/09/2007 11:20,98.22,98.27,98.21,98.23,9805,49.23
10/09/2007 11:21,98.23,98.23,98.17,98.18,14588,54.18
10/09/2007 11:22,98.19,98.27,98.19,98.27,7294,58.27
10/09/2007 11:23,98.27,98.27,98.22,98.22,8251,55.22
10/09/2007 11:24,98.22,98.22,98.17,98.17,8848,52.17
10/09/2007 11:25,98.18,98.22,98.17,98.21,8251,55.21
10/09/2007 11:26,98.21,98.24,98.21,98.24,4902,56.24
10/09/2007 11:27,98.23,98.24,98.23,98.24,2152,52.24
10/09/2007 11:28,98.23,98.24,98.22,98.22,5142,50.22
10/09/2007 11:29,98.22,98.24,98.22,98.23,5739,47.23
10/09/2007 11:30,98.23,98.24,98.14,98.22,7055,45.22
10/09/2007 11:31,98.21,98.22,98.18,98.2,9925,55.2
10/09/2007 11:32,98.2,98.2,98.09,98.12,23675,57.12
10/09/2007 11:33,98.12,98.12,98.08,98.09,6337,61.09
